ASN,prefix,size
19551,45.60.19.0,24
19551,45.60.20.0,24
19551,45.60.21.0,24
19551,45.60.22.0,24
19551,45.60.23.0,24
19551,45.60.24.0,24
19551,45.60.25.0,24
19551,45.60.26.0,24
19551,45.60.27.0,24
19551,45.60.28.0,24
19551,45.60.29.0,24
19551,45.60.30.0,24
19551,45.60.31.0,24
19551,45.60.32.0,24
19551,45.60.33.0,24
19551,45.60.34.0,24
19551,45.60.35.0,24
19551,45.60.36.0,24
19551,45.60.37.0,24
19551,45.60.38.0,24
19551,45.60.39.0,24
19551,45.60.40.0,24
19551,45.60.41.0,24
19551,45.60.42.0,24
19551,45.60.43.0,24
19551,45.60.44.0,24
19551,45.60.45.0,24
19551,45.60.46.0,24
19551,45.60.47.0,24
19551,45.60.48.0,24
19551,45.60.49.0,24
19551,45.60.50.0,24
19551,45.60.51.0,24
19551,45.60.52.0,24
19551,45.60.53.0,24
19551,45.60.54.0,24
19551,45.60.55.0,24
19551,45.60.56.0,24
19551,45.60.57.0,24
19551,45.60.58.0,24
19551,45.60.59.0,24
19551,45.60.60.0,24
19551,45.60.61.0,24
19551,45.60.62.0,24
19551,45.60.63.0,24
19551,45.60.64.0,24
19551,45.60.65.0,24
19551,45.60.66.0,24
19551,45.60.67.0,24
19551,45.60.68.0,24
19551,45.60.69.0,24
19551,45.60.70.0,24
19551,45.60.71.0,24
19551,45.60.72.0,24
19551,45.60.73.0,24
19551,45.60.74.0,24
19551,45.60.75.0,24
19551,45.60.76.0,24
19551,45.60.77.0,24
19551,45.60.78.0,24
19551,45.60.79.0,24
19551,45.60.80.0,24
19551,45.60.81.0,24
19551,45.60.82.0,24
19551,45.60.83.0,24
19551,45.60.84.0,24
19551,45.60.85.0,24
19551,45.60.86.0,24
19551,45.60.87.0,24
19551,45.60.88.0,24
19551,45.60.89.0,24
19551,45.60.90.0,24
19551,45.60.91.0,24
19551,45.60.92.0,24
19551,45.60.93.0,24
19551,45.60.94.0,24
19551,45.60.95.0,24
19551,45.60.96.0,24
19551,45.60.97.0,24
19551,45.60.98.0,24
19551,45.60.99.0,24
19551,45.60.100.0,24
19551,45.60.101.0,24
19551,45.60.102.0,24
19551,45.60.103.0,24
19551,45.60.104.0,24
19551,45.60.105.0,24
19551,45.60.106.0,24
19551,45.60.107.0,24
19551,45.60.108.0,24
19551,45.60.109.0,24
19551,45.60.110.0,24
19551,45.60.111.0,24
19551,45.60.112.0,24
19551,45.60.113.0,24
19551,45.60.114.0,24
19551,45.60.115.0,24
19551,45.60.116.0,24
19551,45.60.117.0,24
19551,45.60.118.0,24
19551,45.60.119.0,24
19551,45.60.120.0,24
